,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.06,95,100,3.89,light rain
122,Tiksi,RU,71.6872,128.8694,22.19,84,100,16.22,overcast clouds
123,Kimbe,PG,-5.5502,150.1429,89.01,61,83,6.8,light rain
124,Chuy,UY,-33.6971,-53.4616,53.08,89,0,5.5,clear sky
125,Mahebourg,MU,-20.4081,57.7,70.09,83,75,4.61,broken clouds
126,Porto Novo,BJ,6.4965,2.6036,75.58,93,33,4.47,scattered clouds
127,Saint George,US,37.1041,-113.5841,82.94,30,0,3.44,clear sky
128,Westport,US,41.1415,-73.3579,58.06,88,100,19.57,overcast clouds
129,East London,ZA,-33.0153,27.9116,63.25,81,81,11.83,broken clouds
130,Tahta,EG,26.7693,31.5021,74.93,40,0,7.87,clear sky
131,Geraldton,AU,-28.7667,114.6,64.81,68,100,12.66,overcast clouds
132,Juegang,CN,32.3174,121.1855,68.92,63,100,15.82,overcast clouds
133,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,94,75,4.61,broken clouds
134,Santiago,CL,-33.4569,-70.6483,56.86,62,75,6.91,broken clouds
135,Fairbanks,US,64.8378,-147.7164,55.4,47,75,6.91,broken clouds
136,Qaanaaq,GL,77.484,-69.3632,16.61,77,100,5.97,overcast clouds
137,Cayenne,GF,4.9333,-52.3333,77.04,88,0,1.14,clear sky
138,Chuguyevka,RU,44.1653,133.8633,42.91,34,29,10.78,scattered clouds
139,Waitara,NZ,-38.925,174.25,50.99,79,100,25.72,light rain
140,Ambon,ID,-3.6954,128.1814,87.94,70,40,4.61,scattered clouds
141,Yulara,AU,-25.2406,130.9889,75.74,32,0,3.91,clear sky
142,Faanui,PF,-16.4833,-151.75,78.58,72,18,25.61,few clouds
143,Suntar,RU,62.1444,117.6319,29.89,79,100,10.96,overcast clouds
144,Terra Santa,BR,-2.1042,-56.4869,78.62,68,18,2.33,few clouds
145,Los Llanos De Aridane,ES,28.6585,-17.9182,78.12,55,0,6.91,clear sky
146,Maltahohe,NA,-24.8333,16.9833,65.14,11,0,4.99,clear sky
147,Martapura,ID,-3.4167,114.85,84.29,79,40,4.61,scattered clouds
148,Souillac,MU,-20.5167,57.5167,70.18,83,75,4.61,broken clouds
149,Chase,CA,50.8165,-119.6857,67.32,56,94,2.51,overcast clouds
150,Coihaique,CL,-45.5752,-72.0662,46.35,76,0,2.3,clear sky
151,Ponta Do Sol,PT,32.6667,-17.1,71.71,68,52,3.42,broken clouds
152,Mount Gambier,AU,-37.8333,140.7667,53.56,98,100,10.33,light rain
153,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,32.21,scattered clouds
154,Mount Isa,AU,-20.7333,139.5,80.37,61,100,11.5,overcast clouds
155,Methoni,GR,36.8197,21.7049,68.22,74,36,6.46,scattered clouds
156,Tongzi,CN,28.7829,105.0877,64.72,81,100,2.44,overcast clouds
157,Deputatskiy,RU,69.3,139.9,11.39,90,73,1.83,broken clouds
158,Bartica,GY,6.4,-58.6167,74.25,97,100,0.96,overcast clouds
159,Sao Filipe,CV,14.8961,-24.4956,78.1,78,91,0.74,overcast clouds
160,Tessalit,ML,20.1986,1.0114,87.49,17,14,7.36,few clouds
161,Nome,US,64.5011,-165.4064,47.16,71,0,14.97,clear sky
162,Saint-Pierre,RE,-21.3393,55.4781,67.68,64,75,4.61,broken clouds
163,Flinders,AU,-34.5833,150.8552,60.39,85,100,4.0,light rain
164,Nouadhibou,MR,20.931,-17.0347,75.18,69,0,11.5,clear sky
165,Lavrentiya,RU,65.5833,-171.0,37.8,71,8,7.56,clear sky
166,Trairi,BR,-3.2778,-39.2689,77.14,78,8,10.87,clear sky
167,Kirkwall,GB,58.9848,-2.9587,50.05,76,20,17.27,moderate rain
168,Sur,OM,22.5667,59.5289,78.64,65,54,5.84,broken clouds
169,Kuching,MY,1.55,110.3333,79.02,89,20,2.3,few clouds
170,Cape Town,ZA,-33.9258,18.4232,51.91,71,0,1.14,clear sky
171,Salalah,OM,17.0151,54.0924,75.96,87,43,5.1,scattered clouds
172,Pouebo,NC,-20.4,164.5667,77.77,51,8,8.72,clear sky
173,Svobodnyy,RU,51.4,128.1333,38.86,42,5,14.27,clear sky
